text,label,Preprocessed
The project will make a significant contribution to the German and European hydrogen strategy and hence to achievement of the climate targets.,1,"['project', 'make', 'significant', 'contribution', 'german', 'european', 'hydrogen', 'strategy', 'hence', 'achievement', 'climate', 'target']"
"So in -- first of all, the segments, we are -- we are more selective than we were in the past.",0,"['first', 'segment', 'selective', 'past']"
Building a smarter and stronger energy grid that better serves customers is at the heart of our Advanced Grid Intelligence and Security initiative.,0,"['building', 'smarter', 'stronger', 'energy', 'grid', 'better', 'serf', 'customer', 'heart', 'advanced', 'grid', 'intelligence', 'security', 'initiative']"
"Generally, first of all our Transmission department is very busy, both gas and electric transmission, I should say, meeting the needs of our on-network customers.",0,"['generally', 'first', 'transmission', 'department', 'busy', 'gas', 'electric', 'transmission', 'say', 'meeting', 'need', 'on-network', 'customer']"
"But for the most part, our challenge is showing them how our funds work within the investment themes that they're already seeking.",0,"['part', 'challenge', 'showing', 'fund', 'work', 'within', 'investment', 'theme', 'already', 'seeking']"
"Our ambition is to be the preferred energy company for all stakeholders, and we have a disciplined three-phase strategy to meet that ambition.",0,"['ambition', 'preferred', 'energy', 'company', 'stakeholder', 'disciplined', 'three-phase', 'strategy', 'meet', 'ambition']"
"Our Environmentally Preferable Purchasing Guidelines, which we have formulated to enforce “green” purchasing, apply not only to parts and raw materials but also to packaging materials.",1,"['environmentally', 'preferable', 'purchasing', 'guideline', 'formulated', 'enforce', 'green', 'purchasing', 'apply', 'part', 'raw', 'material', 'also', 'packaging', 'material']"
"Well, Craig, we certainly are very much active in terms of driving the cost of our silicon carbide technology down over the time period.",0,"['well', 'craig', 'certainly', 'much', 'active', 'term', 'driving', 'cost', 'silicon', 'carbide', 'technology', 'time', 'period']"
"Dow completed expansions of its Louisiana ethylene and Seadrift, Texas, gas-phase polyethylene production facilities, delivering further integration strength to complement the Company's market-focused downstream investments. •",0,"['dow', 'completed', 'expansion', 'louisiana', 'ethylene', 'seadrift', 'texas', 'gas-phase', 'polyethylene', 'production', 'facility', 'delivering', 'integration', 'strength', 'complement', 'company', 'market-focused', 'downstream', 'investment']"
And so you want to know what's going on in golf?,0,"['want', 'know', 'going', 'golf']"
"And they were asked by a very, very large German company to develop the tooling around the concept of this gas injection.",0,"['asked', 'large', 'german', 'company', 'develop', 'tooling', 'around', 'concept', 'gas', 'injection']"
"Mark, I'll let Jeff give you some thoughts on that question.",0,"['mark', 'let', 'jeff', 'give', 'thought', 'question']"
"In this way, it offers all occupants a more comfortable and less tiring ride and enables them to respond quickly to environmental changes.",0,"['way', 'offer', 'occupant', 'comfortable', 'le', 'tiring', 'ride', 'enables', 'respond', 'quickly', 'environmental', 'change']"
"As a global leader in insuring low-carbon technologies, we provide standardized and tailor-made insurance products as part of our Sustainable Solutions (see section 03.4).",1,"['global', 'leader', 'insuring', 'low-carbon', 'technology', 'provide', 'standardized', 'tailor-made', 'insurance', 'product', 'part', 'sustainable', 'solution', 'see', 'section', '03.4']"
"If you start in the year lower-for-longer and you're looking to the forward curve or around the forward curve type numbers, you'd go with, I expect, to have less adjustments during the year.",0,"['start', 'year', 'lower-for-longer', 'looking', 'forward', 'curve', 'around', 'forward', 'curve', 'type', 'number', 'go', 'expect', 'le', 'adjustment', 'year']"
"As we continue to accelerate fiber-to-the-home, we'll start seeing OpEx and CapEx costs coming out of the business.",0,"['continue', 'accelerate', 'fiber-to-the-home', 'start', 'seeing', 'opex', 'capex', 'cost', 'coming', 'business']"
"Bank ventures in the municipal sector also promote more environmentally friendly services, for example by improving the energy efficiency of district heating or water treatment facilities.",1,"['bank', 'venture', 'municipal', 'sector', 'also', 'promote', 'environmentally', 'friendly', 'service', 'example', 'improving', 'energy', 'efficiency', 'district', 'heating', 'water', 'treatment', 'facility']"
"So we think that most customers will choose to take advantage of that saving, and we really see it more as a cost savings going forward than a unique ancillary revenue initiative.",0,"['think', 'customer', 'choose', 'take', 'advantage', 'saving', 'really', 'see', 'cost', 'saving', 'going', 'forward', 'unique', 'ancillary', 'revenue', 'initiative']"
Average growth has kept pace with gross domestic product (GDP) at between two to three percent per year.,0,"['average', 'growth', 'kept', 'pace', 'gross', 'domestic', 'product', 'gdp', 'two', 'three', 'percent', 'per', 'year']"
"Between now and 2020, we will continue to protect water, especially where it is scarce, and use this vital resource in harmony with our business ecosystems and local communities.",1,"['2020', 'continue', 'protect', 'water', 'especially', 'scarce', 'use', 'vital', 'resource', 'harmony', 'business', 'ecosystem', 'local', 'community']"
Lloyd’s Register Quality Assurance Ltd has provided limited assurance for our Net Carbon Footprint assertion for each year from 2016 to 2019.,1,"['lloyd', 'register', 'quality', 'assurance', 'ltd', 'provided', 'limited', 'assurance', 'net', 'carbon', 'footprint', 'assertion', 'year', '2016', '2019']"
"When we look at our Howden business in terms of coal production, they -- power production, they are benefiting from environmentally-driven compliance, particularly in China.",0,"['look', 'howden', 'business', 'term', 'coal', 'production', 'power', 'production', 'benefiting', 'environmentally-driven', 'compliance', 'particularly', 'china']"
